initial,algorithm,heuristic,bound,final,score,explored,time
123152123657394457489768869129435136456261578783789924123132213576457485849689679,hill_climbing,,,123172123567394457489568869129435136456261578783789942123139283576457415849682679,-15,316,0.6342300000000023
213183273458462456679759819142123718567567523893489496263245127941368458578971639,hill_climbing,,,213183273458462456679759819142123715567567923893489486263245127941368458578971639,-14,204,0.42762799999999856
912712512345634647867589839124173134573264576896589289239136123456478675781952489,hill_climbing,,,812712512345634697967589843124367134573214576896589289239136123456478675781925489,-14,756,1.5625189999999982
346241127152685364789739589123813249456524163789679875182235213347647456569819789,hill_climbing,,,341245126256681374789739589123413245456528967789679831172235213348617456569849789,-14,631,1.2791560000000004
145132123867456546932879789123931234465245586789768179435294134261367567789518892,hill_climbing,,,145137123867456546932829789123971238465245516789638479235294134961367567784518892,-16,1782,3.465927999999998
623123152485467374791895869124234123395518456678679978213712235467345647895689891,hill_climbing,,,326193142485467375791825869129234123345568456678179978513712235467345687892689491,-13,606,1.2318630000000006
912134714345256536678789829681152123293643456457789978231123813456456467789789592,hill_climbing,,,912138714345256526678749839861352123293641456457789978132123613456456287789789594,-18,274,0.5878229999999967
923125134456467567178389829341136182562457346789829957123153246495467578678289319,hill_climbing,,,923528134416467527578319869342136182561457346789829957123153246495467378678289519,-9,684,1.3555039999999998
123192214456435637789687859293264123456571567178893894124124182937567346586389579,hill_climbing,,,123142214456935637789687859193264123456571567278893894127134142934567386586289579,-17,408,0.8218260000000015
234123123789459475615687689123146234468357569579829718123132186794546423856789579,hill_climbing,,,234123723789459415615687689123146234468357561579829798123142136794536482856789579,-18,486,0.9831850000000024
123135823745267459689849716134571125265234364798689789243241123175385465689679789,hill_climbing,,,123135923475267458689849716134751125865234364792689789246248123578315465319679789,-14,632,1.2431400000000004
123238195546561674789794328162134812345567364879892597123312145745456673689789289,hill_climbing,,,125238194346561672789794358162134812348567364579892597123312145845456673679789289,-17,563,1.1639879999999998
123172394467934256895568781271821123345753576896469489812192571345346236679785849,hill_climbing,,,123172394457934156896568782761825123345713576892469489812192571345546236679783849,-18,649,1.2721760000000017
123162231459453475678879698134123235657457684829896719215182345463356128789947679,hill_climbing,,,123162237458457495679839618134623235657457681829891749215182345364356128789947679,-17,572,1.1135049999999964
123235126465467345789891978482134314376567259591829678123135245456768673789942189,hill_climbing,,,127235126465467345389891978862134394374567251591829678123135245456782673789946189,-12,725,1.4250159999999994
134283129562956345789714678123416128547235456869789379236143123578256457194879869,hill_climbing,,,134293129265856345789741678123614128547235456869789379236148123578956467491372859,-14,437,0.8693390000000036
534258192627641345891739678142312812365467463897895579912234745345156126678789938,hill_climbing,,,534258192627641345891739678152412612367567483894893579912234756345156124678789938,-14,1090,2.122318
253213137461457946789869285346123823815467456927589791192132123734946457568758689,hill_climbing,,,253263137461457946789819285346123823815467456927589791192135123734926457568748689,-15,340,0.6798280000000005
123129143456345295789678678123712245459385897678694361124512123567394567893786894,hill_climbing,,,123129143476345925589678678923812245451375896678694731124512413567394567893786892,-13,550,1.1048350000000013
412213123579546456863789789341124135562576476789839892134231264567456319829789758,hill_climbing,,,812243123579716456643589789342124135561573476789869892134231257267456319859789648,-14,2171,4.269170000000003
123345913456612457789897862613124812478569354259378679237812129458345548169679367,hill_climbing,,,123345913456621457789897826613124512478569384529378679237812129458345748169679365,-18,260,0.520900999999995
124123371758459245963678689238152134415346562679897789243315123567647457891289869,hill_climbing,,,154123397768459245923678681238152134415347562679896789243615123567347458891289769,-11,796,1.5576760000000007
124123341536964567789785982236312123578456478914897569413234182256685349879719567,hill_climbing,,,124123341536964567789785982236312123578456478914897569713234182256685349849719567,-25,130,0.25611299999999915
135125324462346751789789698123273125495814346678956789123123123647458457589679689,hill_climbing,,,235125374461346952789789618123293125495817346678456789143123127627458453589679689,-9,2412,4.615535999999999
123128197469734345758569682138216172456394453792857689162561345345748627789923819,hill_climbing,,,123128197569734345748569682138296172456314453792857689162561345345748627789923819,-20,422,0.8879149999999996
256123136371456792489789458135142123467653459829987678123132145645475287789689963,hill_climbing,,,256123136371456792489789458135142123467693459829587678123132145645475287789689963,-17,810,1.5447680000000048
153234184246567293789189567812935152345612734679784689124231125536458347789679689,hill_climbing,,,153234148246567293789189567812935152345612734679784986124321125936458347785679689,-11,394,0.7726610000000065
721123156365456243849879789125213123346746567789958489234851312516234475789679968,hill_climbing,,,427123156315456243869879789152263123346947567789158489234581912516234475789679368,-13,1386,2.7939599999999984
127123126459456435368789789182325192456471345793689678234137142756452678819689359,hill_climbing,,,127128124459456536368739789182345192456271345793689678234137146756452378819689259,-14,846,1.6667810000000003
239234217485571345671896968364513142572674635189829789142192123356453456879678789,hill_climbing,,,238234917495576345671891268364513142572674635189829789182192423356453156479678789,-15,382,0.7656130000000019
917123162234456345568798879152123143384578259679649678512231345463476678789895291,hill_climbing,,,918193172234456345567728869152123134384578259679649678512236345463471678789895291,-20,360,0.7177340000000001
123521123496346456578798879126124345734567789589398261162123128854467394379859756,hill_climbing,,,123591123496346456578728879127124365634567789589893241142123128856467394379859756,-17,228,0.46403499999999553
245163123136547458789892967712134612345257384689689795245513132916247756783896849,hill_climbing,,,245163123136527458789894967812734612345251384679689795245316137396247256781895849,-9,575,1.20599
831136123546452459729789678125129123346345547897678896123264178456378235789519649,hill_climbing,,,851136123642457459739289678527129123346345547891678896123264187456378235789519649,-12,218,0.4830970000000008
321123189456549234789678567123234364456567215789891879153123125246947367789658849,hill_climbing,,,328143198456529234719678567123234376456567215789891849173123125245946467689758839,-15,368,0.7594789999999989
321237123495456486678189795123123134458657526679498978481134157235256268679789934,hill_climbing,,,921237123435456486678189795123123134458657596679894278581134147234256268679789953,-19,507,1.0053319999999957
124234165576681234389975978823132572415684134679597689231356651456782234789419789,hill_climbing,,,124234165576687934389915278823142527415687134679593689231356651456781234789429789,-14,887,1.7398079999999965
351526812678348345429197679123312241658745573974689869142123631637456295589789487,hill_climbing,,,351526812678348345429197679123712243758345576964689819145123631637456295289789487,-16,376,0.7452540000000027
123123962674457345859896178861124173324735568579689249134132234568458571279679689,hill_climbing,,,123123962675457345849896178681124173324735568579689429134138234568452671279679589,-16,408,0.8077880000000022
126234713435678956789519428124237125753145394689698678912236127356475345847891689,hill_climbing,,,126234713435678956789159248124237125753815394689694678812536127356472345947891689,-10,546,1.0691300000000012
812342123345781456679596789234623148569415275178789639423127413567345756891689892,hill_climbing,,,712346123345781456689592789234623145569415278178789639423129713567345256891687894,-11,580,1.1533779999999894
812134239374569146569278587135234132264675945798891678126123123945475467738689895,hill_climbing,,,817134239324569746569278581135234192462571345798896678126123123945745467738689895,-16,696,1.3629159999999985
124128673358456451679739289124345123365162945789789867123213132465467456789895798,hill_climbing,,,124128673853456451679739289125345123364961845789782967123213139465467456789895728,-19,294,0.5910030000000006
123245162467678345589391789741123234253467516689895798342215912589678345671439678,hill_climbing,,,123345162467678357589291489741123234253467586689895791346215912589678345172439678,-15,144,0.33273200000000713
124126143356457256789893879251234214346569356789178789243961124518374567679825389,hill_climbing,,,124126143356457856789893279751234264346569351289178789243961124518372567679845389,-11,312,0.6392220000000037
812124126345365345769789789192345651736672234854189789213243812678567345945891697,hill_climbing,,,812124126345368345769759789192345561436672234857189789513243812678567945924891637,-11,429,0.9477140000000048
146234123758671567293598849123123924745567356689894718123168134546345572789972689,hill_climbing,,,164234123738679567592518849123123924745567356689894718153186234246345571789972689,-12,566,1.139409999999998
123345283567617457489982691146234812759561934832789567345134213627589564189726789,hill_climbing,,,123645283567917457489382196156234912749561834832789567345137243627589561189426789,-9,238,0.5016640000000052
924123314356459256178678789182912456349347138567568279134132712568467435927958689,hill_climbing,,,924123314856459256371678789182912456349347128567568379134182712568467435927935689,-15,412,0.8337100000000106
132134162456562345798789798124962123563314756789578489816124713234569526597378894,hill_climbing,,,182134692456562341793789758124692123563314765789578489918124213234569576567873894,-15,1258,2.462527999999992
123312124945467536678589789471931612263245457895678893314812952678364346529579178,hill_climbing,,,123512124945467536678389789451931612263245457897876893314612952678384346529579178,-16,475,0.9247779999999892
891412213234357569675689478243712124617348657589596839612142243357567156849398879,hill_climbing,,,981612413234357562675489978243712124617348657589596839412149273357567156869238849,-11,541,1.0846269999999976
143293812256145345789678679123123374456457691897896582341253412578486356692719798,hill_climbing,,,143293812256145345789678679123123374456457961897896582341583412578426356692719798,-14,210,0.4499539999999911
125123123673574456489689789123123365465945147789678289234192821568345345719687796,hill_climbing,,,125123123673564456489789789123923635485145147769678289234192826568345315719687794,-19,264,0.5429400000000015
123812172456345468789679593417293314235451295689678678712513145345674672869289839,hill_climbing,,,123812152456345768789679493714293314235458925689176678612534145345671672879289839,-12,1338,2.6171010000000052
493235145152746673678891928124217231536348459789569768142124134379657576856893982,hill_climbing,,,493235145251476679678891328124718239536342451789569768162124134379657586845893972,-9,1452,2.8461719999999957
124123612567645543893789798125813142674426357839795896127139134345246567689578892,hill_climbing,,,124123612567645348893789795125813142674456357839792896126175934345246567789938821,-9,588,1.1806799999999953
124123712375456456689789389123193243784475567569286189192245132346678456758913789,hill_climbing,,,127123612345456457689789389173163243824479567569582189152245132396678456748931789,-16,770,1.5195169999999933
152136324347457517968289689231162724465347568789589139819124123263398475457567689,hill_climbing,,,172135364349427517568689289235162724461347568789589139816124123293893475457567689,-12,559,1.111898999999994
132136123496425574785789689123912123578364546649578798456214819273567725891893346,hill_climbing,,,135136123496425574782789689123612123578394546649578798456234817371567926892891345,-12,714,1.3823949999999883
612497213834132456579586789432123192571945436869678758129218146345345352678679789,hill_climbing,,,612794213834132456579586789462123192571945436839678578129281164345345358678679729,-16,583,1.115085999999991
