initial,algorithm,heuristic,bound,final,score,explored,time
123431134645265256789978879132214192467657345589893678312234162456576539879891847,hill_climbing,,,123951134645263756789478829132264192467157345589893678371234162456576938829891547,-14,184,0.18740299999999976
182236194345457256679891783234136134561758267789249859815192641423345325679678789,hill_climbing,,,182236197345457256679891483234136134569758762781429859815192641423345325679678789,-14,94,0.09457100000000018
127123124364475395598896678689213234134546561257789789234129157167734268895568349,hill_climbing,,,126123194394476325578895678689213234132546561457789789234127153567934268891568749,-12,220,0.21840800000000016
137124123642639456589785789124182713567394846893567529912123182345564956768789347,hill_climbing,,,136924123742631456589785789154182713267394648893567529912123182345564956768789347,-17,144,0.13924800000000026
254123134137456562869789789127126531348394427569578689123917152456345346789682798,hill_climbing,,,254123734317456562869789189127126431348394527569578689123917152456345346789682798,-15,104,0.10098600000000069
124346123375187456689295879234129124586364758791578693415916238263234465789758791,hill_climbing,,,127346123345187456689295879234129124586364758791578693415916238263234465789758791,-18,44,0.04222900000000074
123152934568467561749839278123235412465941356879687789512123124349854536678679789,hill_climbing,,,123152934568467561749839278123236412475948356869517789512123134349854526678679789,-16,114,0.11288300000000007
284912123635348645791567897416124192235578345789396867123241519845735234679689678,hill_climbing,,,254912163631348745798567892416124192235578345789396867123249519845735234679681678,-16,123,0.12420299999999962
245182435316365869789479217123135912465672453798894768971234182423156345568798769,hill_climbing,,,245182435316365869789479271123135912468672453795894768971234182423856345568791769,-17,92,0.09070999999999962
913145162527672345468389789136123152842465367579879489165123136723456748489879295,hill_climbing,,,913145182527672345468389769136123152842465367579879984175123136623456748489879295,-20,88,0.08779600000000087
231712125456546638789893497213234129485156347697789586712214123456935574893678869,hill_climbing,,,231712125456546638789893497273234129485156347691789586712914123456235574893678869,-20,64,0.06310200000000066
234134725567596816819728439198614213234235465567789879314152612576349345892678789,hill_climbing,,,234134725567596831819728469198617513234235468567489279314152612576349345892678789,-9,135,0.13700000000000045
123126312456738945789945687516123192234567345789849678234124123596567456871893789,hill_climbing,,,123186912456732845789945637618123192234567345759849678237124123596567456841893789,-10,178,0.17339099999999874
173123213245568694689794578128264123345571456697893789413192152782435346695678879,hill_climbing,,,173423513245568694689197278128264123345571456697893789413192162786435345592678879,-18,186,0.1858700000000013
