initial,algorithm,heuristic,bound,final,score,explored,time
900034700000000030000080020680150000090603000007000900201000800000000467000700002,depth_first_graph_search,,100,922534781418967539316987529683152374194673285547828916271449853839215467555746192,81,3,7.12283199999996
900105000050000060100380020041036080002000000000020057000050000090000500600200310,depth_first_graph_search,,100,928165733358742169167389425741536982532978641836421957474653298293814576685297314,81,5,10.592915000000005
000090200000400030000007050290060000000001000100003004004020080907000046006300000,depth_first_graph_search,,100,435896271781452939681237459293568713578941622168973624314729585927115346856384197,81,6,9.03769200000005
000000100000009070615087000000006000000300009570020010000030086790040523800000000,depth_first_graph_search,,100,987463152382159674615487292149876235248371769576924318454732986791648523823615947,81,5,11.314067000000023
000000800740200539000040016000570000260000304008000000003001000105380060680000000,depth_first_graph_search,,100,336997842741216539529843716494572681267198354458164971973621485175389462682455197,81,5,6.101368999999977
003008195500001784000004326060000800005000060800002007000300000700059603080000200,depth_first_graph_search,,100,473268195529631784178594326267415831215783961834912557956327448742859613381146279,81,6,13.925262999999973
000572090060900200005600001270861000000754006006239400800496570000300000000105040,depth_first_graph_search,,100,188572394463918257795643781274861935319754826586239418833496572651327819927185643,81,5,10.609487000000001
000060001009003070008070090000100200600000004020006710200381000493657128000942000,depth_first_graph_search,,100,732469851549513472138274693974135286615728334324896715267381949493657128881942567,81,6,12.991900999999984
003205076005000000700001900482000010376514289591020000000000040000068003000042100,depth_first_graph_search,,100,813295476665487321724631958482973615376514289591826734137159842247168593958342167,81,4,12.343009999999992
000080009502907000000014000000406008047000000060000300006003000000201050104809060,depth_first_graph_search,,100,413682579582937416698514723321476118847395625965178342256743991779261854134859267,81,3,6.293859999999995
500008090020041000001030000040300800005400063007005000900200745000100006070000900,depth_first_graph_search,,100,563728194729641338481639572142397857895417263637865419916283745258174326374556981,81,4,9.242458999999997
050010007401000900000060205000000800015000000027500091090002000700940000000050680,depth_first_graph_search,,100,256819347471325968383464215949271836315298736827536491594682173768943152132757684,81,1,1.5678259999999682
000009040050040290700000010100700982009080457000004361000500120000090030003006074,depth_first_graph_search,,100,318269745658141293742358618134765982629183457587924361446537129875492836293816574,81,10,20.68154800000002
400010000000540000863700000001004000002006470000030002000001064500000019020000750,depth_first_graph_search,,100,459813627219543687863792541681924338392186475674135992937251864546387219128469753,81,11,21.94312500000001
000000900000012000009007062600000800000009050250300000007800009000000508160000307,depth_first_graph_search,,100,745468931346912785819537462674751893884669253251384176527843619493176528168295347,81,14,23.159324000000026
020000071050009200063000009008050000010006002000007000040305006500600007001204800,depth_first_graph_search,,100,929538471154769283763512489278153614415986792236447518847395126582691947691274835,81,6,13.999549000000002
